local_id_attribute	symbol	geneid
442_200914_x_at	KTN1	3895
443_200915_x_at	KTN1	3895
444_200916_at	TAGLN2	8407
445_200917_s_at	SRPR	6734
446_200918_s_at	SRPR	6734
447_200919_at	PHC2	1912
448_200920_s_at	BTG1	694
449_200921_s_at	BTG1	694
450_200922_at	KDELR1	10945
451_200923_at	LGALS3BP	3959
452_200924_s_at	SLC3A2	6520
453_200925_at	COX6A1	1337
454_200926_at	RPS23	6228
455_200927_s_at	RAB14	51552
456_200928_s_at	RAB14	51552
457_200929_at	TMED10	10972
458_200930_s_at	VCL	7414
459_200931_s_at	VCL	7414
460_200932_s_at	DCTN2	10540
461_200933_x_at	RPS4X	6191
462_200934_at	DEK	7913
463_200935_at	CALR	811
464_200936_at	RPL8	6132
465_200937_s_at	RPL5	6125
466_200938_s_at	RERE	473
467_200939_s_at	RERE	473
468_200940_s_at	RERE	473
469_200941_at	HSBP1	3281
470_200942_s_at	HSBP1	3281
471_200943_at	HMGN1	3150
472_200944_s_at	HMGN1	3150
473_200945_s_at	SEC31A	22872
474_200946_x_at	GLUD1	2746
475_200947_s_at	GLUD1	2746
476_200948_at	MLF2	8079
477_200949_x_at	RPS20	6224
478_200950_at	ARPC1A	10552
479_200951_s_at	CCND2	894
480_200952_s_at	CCND2	894
481_200953_s_at	CCND2	894
482_200954_at	ATP6V0C	527
483_200955_at	IMMT	10989
484_200956_s_at	SSRP1	6749
485_200957_s_at	SSRP1	6749
486_200958_s_at	SDCBP	6386
487_200959_at	FUS	2521
488_200960_x_at	CLTA	1211
489_200961_at	SEPHS2	22928
490_200962_at	RPL31	6160
491_200963_x_at	RPL31	6160
492_200964_at	UBA1	7317
493_200965_s_at	ABLIM1	3983
494_200966_x_at	ALDOA	226
495_200967_at	PPIB	5479
496_200968_s_at	PPIB	5479
497_200969_at	SERP1	27230
498_200970_s_at	SERP1	27230
499_200971_s_at	SERP1	27230
500_200972_at	TSPAN3	10099
501_200973_s_at	TSPAN3	10099
502_200974_at	ACTA2	59
503_200975_at	PPT1	5538
504_200976_s_at	TAX1BP1	8887
505_200977_s_at	TAX1BP1	8887
506_200978_at	MDH1	4190
507_200979_at	PDHA1	5160
508_200980_s_at	PDHA1	5160
509_200981_x_at	GNAS	2778
510_200982_s_at	ANXA6	309
511_200983_x_at	CD59	966
512_200984_s_at	CD59	966
513_200985_s_at	CD59	966
514_200986_at	SERPING1	710
515_200987_x_at	PSME3	10197
516_200988_s_at	PSME3	10197
517_200989_at	HIF1A	3091
518_200990_at	TRIM28	10155
519_200991_s_at	SNX17	9784
520_200992_at	IPO7	10527
521_200993_at	IPO7	10527
522_200994_at	IPO7	10527
523_200995_at	IPO7	10527
524_200996_at	ACTR3	10096
525_200997_at	RBM4	5936
526_200998_s_at	CKAP4	10970
527_200999_s_at	CKAP4	10970
528_201000_at	AARS	16
